"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","pensions_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"175",42,1969,NA,NA,NA,0.438718050718307,NA,NA,NA,NA,NA,NA,NA
"176",42,1970,NA,NA,NA,0.415717095136642,NA,NA,NA,NA,NA,NA,NA
"177",42,1971,NA,NA,NA,0.372847020626068,NA,NA,NA,NA,NA,NA,NA
"178",42,1972,NA,NA,NA,0.350149244070053,NA,NA,NA,NA,NA,NA,NA
"179",42,1973,NA,NA,NA,0.330146074295044,NA,NA,NA,NA,NA,NA,NA
"180",42,1974,NA,NA,NA,0.282673567533493,NA,NA,NA,NA,NA,NA,NA
"181",42,1975,NA,NA,NA,0.262808829545975,NA,NA,NA,NA,NA,NA,NA
"182",42,1976,NA,NA,NA,0.297307074069977,NA,NA,NA,NA,NA,NA,NA
"183",42,1977,NA,NA,NA,0.277554959058762,NA,NA,NA,NA,NA,NA,NA
"184",42,1978,NA,NA,NA,0.325686693191528,NA,NA,NA,NA,NA,NA,NA
"185",42,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",42,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",42,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",42,1982,NA,NA,NA,0.441668391227722,NA,NA,NA,NA,NA,NA,NA
"189",42,1983,NA,NA,NA,0.393960684537888,NA,NA,NA,NA,NA,NA,NA
"190",42,1984,NA,NA,NA,0.387579470872879,NA,NA,NA,NA,NA,NA,NA
"191",42,1985,NA,NA,NA,0.251464158296585,NA,NA,NA,NA,NA,NA,NA
"192",42,1986,NA,NA,NA,0.287501513957977,NA,NA,NA,NA,NA,NA,NA
"193",42,1987,NA,NA,NA,0.191152393817902,NA,NA,NA,NA,NA,NA,NA
"194",42,1988,NA,NA,NA,0.180061548948288,NA,NA,NA,NA,NA,NA,NA
"195",42,1989,NA,NA,NA,0.169611200690269,NA,NA,NA,NA,NA,NA,NA
"196",42,1990,0.0413935407996178,0.0413935407996178,NA,0.199684396386147,NA,0.316581696271896,0.085943192243576,0.127215340733528,0.103423163294792,NA,NA
"197",42,1991,0.0454060286283493,0.0454060286283493,NA,0.181295678019524,NA,0.285080879926682,0.0768536031246185,0.130224153399467,0.0780031234025955,NA,NA
"198",42,1992,0.046960636973381,0.046960636973381,NA,0.175822123885155,NA,0.340931743383408,0.0935475826263428,0.176444947719574,0.0709392130374908,NA,NA
"199",42,1993,0.0504736602306366,0.0504736602306366,NA,0.178537413477898,NA,0.361385405063629,0.100596457719803,0.180993437767029,0.0797955021262169,NA,NA
"200",42,1994,0.046316847205162,0.046316847205162,NA,0.177603751420975,NA,0.348255783319473,0.109133549034595,0.171405836939812,0.0677164047956467,NA,NA
"201",42,1995,0.0635013207793236,0.036553118377924,0.0269482042640448,0.207769483327866,NA,0.323495090007782,0.117397725582123,0.075283870100975,0.026248250156641,0.104565247893333,NA
"202",42,1996,0.063619576394558,0.0372193977236748,0.0264001805335283,0.197887986898422,NA,0.299731135368347,0.114573545753956,0.078002005815506,0.0336885750293732,0.0734670087695122,NA
"203",42,1997,0.0824312418699265,0.0449576340615749,0.0374736040830612,0.264400064945221,NA,0.307246148586273,0.127709612250328,0.0796514600515366,0.0449309051036835,0.0549541600048542,NA
"204",42,1998,0.0825612246990204,0.0442109853029251,0.038350235670805,0.310206472873688,NA,0.319933861494064,0.147929280996323,0.0856983065605164,0.0382772795855999,0.0480289869010448,NA
"205",42,1999,0.0775704756379128,0.0387263856828213,0.0388440936803818,0.278696566820145,NA,0.327310532331467,0.148019537329674,0.08208267390728,0.0523414351046085,0.0448668897151947,NA
"206",42,2000,0.0915093719959259,0.04690046235919,0.0446089096367359,0.307815045118332,NA,0.31258487701416,0.130652502179146,0.0943610817193985,0.0590711571276188,0.0285001359879971,NA
"207",42,2001,0.100018903613091,0.0570850968360901,0.0429338105022907,0.312637269496918,NA,0.36239218711853,0.146065130829811,0.0950884968042374,0.085983969271183,0.0352545939385891,NA
"208",42,2002,0.0980578139424324,0.0577979870140553,0.0402598232030869,0.323806434869766,NA,0.345189988613129,0.152101337909698,0.0998765826225281,0.0560311786830425,0.0371809042990208,NA
"209",42,2003,0.0522383898496628,0.0256227031350136,0.0266156867146492,0.242288127541542,NA,0.20540851354599,0.0700749829411507,0.0468558594584465,0.0531942546367645,0.0352834165096283,NA
"210",42,2004,0.0577891208231449,0.0262491255998611,0.0315399952232838,0.191195994615555,NA,0.319113194942474,0.0755087286233902,0.0617781169712543,0.118060141801834,0.0637662038207054,NA
"211",42,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",42,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",51,1962,NA,NA,NA,NA,NA,0.293501049280167,NA,0.100628927350044,NA,NA,0.192872121930122
"214",51,1963,0.0770751014351845,NA,NA,NA,NA,0.268774718046188,0.138339921832085,0.0948616564273834,NA,NA,0.0355731211602688
"215",51,1964,0.0685618743300438,NA,NA,NA,NA,0.254180610179901,0.138795986771584,0.0836120396852493,NA,NA,0.0317725762724876
"216",51,1965,0.0620384030044079,NA,NA,NA,NA,0.231905460357666,0.118168391287327,0.0797636657953262,NA,NA,0.0339734107255936
"217",51,1966,0.073529414832592,NA,NA,NA,0.0286764707416296,0.366911768913269,0.144852936267853,0.101470589637756,NA,NA,0.120588235557079
"218",51,1967,0.0688775479793549,NA,NA,NA,0.0286989789456129,0.37053570151329,0.151147961616516,0.0982142835855484,NA,NA,0.121173471212387
